City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
181,Nouakchott,18.0858,-15.9785,68.0,77,11,12.66,MR,2021-04-19 05:27:00
182,Boyolangu,-8.1181,111.8935,84.72,67,59,9.6,ID,2021-04-19 05:28:28
183,Ilulissat,69.2167,-51.1,12.2,52,35,25.32,GL,2021-04-19 05:28:28
184,Mahebourg,-20.4081,57.7,80.6,83,75,11.5,MU,2021-04-19 05:28:29
185,Meulaboh,4.1363,96.1285,83.86,64,92,2.53,ID,2021-04-19 05:28:29
186,Kirkwall,58.9848,-2.9587,44.6,87,100,5.75,GB,2021-04-19 05:28:29
187,Yenagoa,4.9247,6.2642,74.7,92,80,3.94,NG,2021-04-19 05:28:30
188,Yerkoy,39.6381,34.4672,59.67,65,100,3.2,TR,2021-04-19 05:28:30
189,Zhigansk,66.7697,123.3711,17.22,75,100,6.82,RU,2021-04-19 05:28:31
190,Camabatela,-8.1881,15.375,61.48,97,98,3.76,AO,2021-04-19 05:28:31
191,Bonnyville,54.2668,-110.735,32.0,55,40,11.5,CA,2021-04-19 05:28:31
192,Abu Samrah,35.3029,37.1841,78.57,26,100,8.55,SY,2021-04-19 05:28:32
193,Outram,1.2829,103.8379,84.2,70,40,5.75,MY,2021-04-19 05:28:32
194,Zhanakorgan,43.9098,67.2495,73.33,24,88,7.05,KZ,2021-04-19 05:28:32
195,Pevek,69.7008,170.3133,28.24,73,69,17.18,RU,2021-04-19 05:28:33
196,Ndele,8.4109,20.6473,75.25,67,95,4.45,CF,2021-04-19 05:28:33
197,Winnemucca,40.973,-117.7357,48.2,27,1,10.36,US,2021-04-19 05:28:34
198,Diego De Almagro,-26.3667,-70.05,60.3,57,0,0.81,CL,2021-04-19 05:28:34
199,Zabol,32.25,67.25,65.57,14,100,10.63,AF,2021-04-19 05:28:34
200,Bell Ville,-32.6259,-62.6887,64.99,97,0,3.0,AR,2021-04-19 05:28:35
201,Saint-Francois,46.4154,3.9054,39.99,93,75,3.44,FR,2021-04-19 05:28:35
202,Muzhi,65.3667,64.6667,18.1,75,99,8.55,RU,2021-04-19 05:28:36
203,Kodiak,57.79,-152.4072,46.4,71,20,9.69,US,2021-04-19 05:24:43
204,Kavaratti,10.5669,72.642,83.84,69,15,4.56,IN,2021-04-19 05:28:36
205,San Rafael,-34.6177,-68.3301,70.11,70,58,10.94,AR,2021-04-19 05:28:36
206,Kharagauli,42.0214,43.1977,64.4,77,75,13.8,GE,2021-04-19 05:28:37
207,Mkushi,-13.6202,29.3939,55.35,94,73,3.67,ZM,2021-04-19 05:28:37
208,Kharp,66.8014,65.8081,14.14,81,76,7.99,RU,2021-04-19 05:28:38
209,Mandalgovi,45.7625,106.2708,54.0,27,25,8.63,MN,2021-04-19 05:28:38
210,The Valley,18.217,-63.0578,79.0,78,20,8.05,AI,2021-04-19 05:28:38
211,Nador,35.174,-2.9287,59.0,88,40,4.72,MA,2021-04-19 05:27:25
212,Bathsheba,13.2167,-59.5167,78.8,61,20,19.57,BB,2021-04-19 05:28:39
213,Tobermory,45.2501,-81.6665,37.4,87,12,4.61,CA,2021-04-19 05:28:39
214,Shimoda,34.6667,138.95,64.4,42,20,5.75,JP,2021-04-19 05:28:40
215,Dikson,73.5069,80.5464,3.61,97,100,10.47,RU,2021-04-19 05:28:40
216,Awbari,26.5921,12.7805,64.13,26,6,15.55,LY,2021-04-19 05:28:41
217,Katsuura,35.1333,140.3,72.0,28,20,6.91,JP,2021-04-19 05:28:41
218,Vila Velha,-20.3297,-40.2925,75.2,83,0,3.44,BR,2021-04-19 05:28:41
219,Borzya,50.3833,116.5167,41.2,10,6,9.31,RU,2021-04-19 05:28:42
220,Palmer,42.1584,-72.3287,45.0,93,90,1.07,US,2021-04-19 05:28:42
221,Mangrol,21.1167,70.1167,87.19,55,3,11.72,IN,2021-04-19 05:28:43
222,Katherine,-14.4667,132.2667,91.4,27,0,12.66,AU,2021-04-19 05:28:43
223,Srednekolymsk,67.45,153.6833,29.86,73,25,7.4,RU,2021-04-19 05:28:43
224,Egvekinot,66.3167,-179.1667,27.12,93,100,6.89,RU,2021-04-19 05:28:44
225,Sur,22.5667,59.5289,85.96,45,94,4.12,OM,2021-04-19 05:28:44
226,Santa Vitoria Do Palmar,-33.5189,-53.3681,62.51,76,30,7.16,BR,2021-04-19 05:28:44
227,Dolgoye,52.8,37.2167,42.33,87,100,6.26,RU,2021-04-19 05:28:45
228,Puerto Leguizamo,-0.1934,-74.7819,72.57,98,100,5.17,CO,2021-04-19 05:28:45
229,Chara,56.9064,118.2631,17.13,51,35,3.65,RU,2021-04-19 05:28:46
230,Buzmeyin,38.0507,58.2056,77.0,29,75,11.5,TM,2021-04-19 05:28:46
231,Bilibino,68.0546,166.4372,25.57,85,86,18.57,RU,2021-04-19 05:28:46
232,Derbent,42.0678,48.2899,59.02,68,84,2.93,RU,2021-04-19 05:28:47
233,Kiruna,67.8557,20.2251,30.2,64,0,5.75,SE,2021-04-19 05:28:47
234,Royal Tunbridge Wells,51.1325,0.2633,34.0,89,0,2.17,GB,2021-04-19 05:28:48
235,Vagur,61.4732,-6.8119,41.47,82,100,0.6,FO,2021-04-19 05:28:48
236,Lata,40.1629,-8.3327,57.0,85,100,3.0,PT,2021-04-19 05:28:48
237,Riyadh,24.6877,46.7219,80.6,20,0,4.61,SA,2021-04-19 05:28:49
238,Kyshtovka,56.555,76.6271,18.28,57,100,13.76,RU,2021-04-19 05:28:49
239,West Bay,19.3667,-81.4167,81.0,79,3,1.01,KY,2021-04-19 05:28:50
240,Mnogovershinnyy,53.9353,139.9242,29.7,98,100,11.32,RU,2021-04-19 05:28:50
241,Praia Da Vitoria,38.7333,-27.0667,60.01,82,20,4.61,PT,2021-04-19 05:28:50
242,Basoko,1.2391,23.616,72.01,95,100,1.54,CD,2021-04-19 05:28:51
243,Chimore,-16.9833,-65.1333,71.6,97,70,1.14,BO,2021-04-19 05:28:51
244,Cairns,-16.9167,145.7667,75.2,94,90,10.36,AU,2021-04-19 05:28:52
245,Marsta,59.6216,17.8548,42.01,80,0,5.75,SE,2021-04-19 05:28:52
246,Hilo,19.7297,-155.09,75.2,69,90,5.75,US,2021-04-19 05:28:52
247,Sarangani,5.4033,125.4636,82.27,77,100,26.84,PH,2021-04-19 05:28:53
248,Port Lincoln,-34.7333,135.8667,66.36,53,27,16.89,AU,2021-04-19 05:28:53
249,Lipin Bor,60.2622,37.9763,35.71,68,4,8.75,RU,2021-04-19 05:28:54
250,Oussouye,12.485,-16.5469,71.55,75,48,4.65,SN,2021-04-19 05:28:54
251,Majene,-3.5403,118.9707,85.1,63,94,7.36,ID,2021-04-19 05:28:55
252,Dabola,10.75,-11.1167,79.05,60,90,3.62,GN,2021-04-19 05:28:56
253,Dungarpur,23.8333,73.7167,97.11,10,3,2.71,IN,2021-04-19 05:28:56
254,Mercedes,-34.6515,-59.4307,62.01,96,14,7.92,AR,2021-04-19 05:28:57
255,Cabo San Lucas,22.8909,-109.9124,69.01,77,1,14.72,MX,2021-04-19 05:26:12
256,Chuy,-33.6971,-53.4616,61.72,78,38,6.96,UY,2021-04-19 05:28:57
257,Magaria,12.9983,8.9099,78.6,10,100,3.83,NE,2021-04-19 05:28:58
258,Nanortalik,60.1432,-45.2371,30.33,52,62,5.53,GL,2021-04-19 05:28:58
259,Ginir,7.1333,40.7,59.56,80,100,1.21,ET,2021-04-19 05:28:58
260,Mandera,3.9366,41.867,82.67,62,43,11.99,KE,2021-04-19 05:28:59
261,Slave Lake,55.2834,-114.769,33.8,55,1,4.61,CA,2021-04-19 05:28:59
262,Hami,42.8,93.45,71.15,16,81,11.95,CN,2021-04-19 05:29:00
263,Nemuro,43.3236,145.575,55.4,41,75,8.05,JP,2021-04-19 05:29:00
264,Hasaki,35.7333,140.8333,72.0,21,20,10.36,JP,2021-04-19 05:29:01
265,Qasigiannguit,68.8193,-51.1922,12.2,52,37,25.32,GL,2021-04-19 05:29:01
266,Kamenka,51.3223,42.7678,53.01,71,83,6.53,RU,2021-04-19 05:29:02
267,Svetlogorsk,52.6333,29.7333,43.18,88,97,8.16,BY,2021-04-19 05:29:02
